adv_id,Captação,Tipo de Captação,Data
Assessor_21,"527317,91",PREV,2020-07-24 00:00:00
Assessor_5,"525300,00",TED,2020-06-12 00:00:00
Assessor_35,"525043,79",TED,2020-03-30 00:00:00
Assessor_10,"524500,00",TED,2020-08-14 00:00:00
Assessor_46,"522943,00",ST,2020-02-18 00:00:00
Assessor_36,"522580,00",TED,2020-10-30 00:00:00
Assessor_27,"521500,00",TED,2020-08-04 00:00:00
Assessor_27,"520026,75",ST,2020-07-22 00:00:00
Assessor_35,"520000,00",TED,2020-07-01 00:00:00
Assessor_41,"519894,70",ST,2020-04-22 00:00:00
Assessor_3,"516874,24",TD,2020-06-04 00:00:00
Assessor_42,"515600,00",TED,2020-09-30 00:00:00
Assessor_35,"515000,00",TED,2020-06-22 00:00:00
Assessor_26,"514848,55",TED,2019-11-05 00:00:00
Assessor_35,"514580,00",TED,2020-05-28 00:00:00
Assessor_35,"510500,00",TED,2020-06-10 00:00:00
Assessor_41,"510377,00",ST,2020-09-01 00:00:00
Assessor_10,"509534,81",TED,2020-08-06 00:00:00
Assessor_12,"508520,05",TED,2020-07-03 00:00:00
Assessor_35,"507350,00",TED,2020-05-27 00:00:00
Assessor_5,"506300,00",TED,2020-07-13 00:00:00
Assessor_35,"506100,00",TED,2020-05-04 00:00:00
Assessor_14,"504300,00",TED,2020-06-16 00:00:00
Assessor_27,"504179,26",TED,2020-06-19 00:00:00
Assessor_27,"503627,67",TED,2020-07-29 00:00:00
Assessor_36,"503016,63",TD,2020-09-11 00:00:00
Assessor_35,"503000,00",TED,2020-03-25 00:00:00
Assessor_35,"503000,00",TED,2020-06-18 00:00:00
Assessor_35,"502900,00",TED,2020-03-26 00:00:00
Assessor_12,"501948,00",TED,2020-09-14 00:00:00
Assessor_35,"501850,00",TED,2020-03-23 00:00:00
Assessor_35,"501500,00",TED,2020-03-20 00:00:00
Assessor_28,"501401,38",TED,2020-10-30 00:00:00
Assessor_42,"501130,37",PREV,2019-12-18 00:00:00
Assessor_35,"500104,37",TED,2020-05-26 00:00:00
Assessor_10,"500100,00",TED,2020-08-04 00:00:00
Assessor_21,"500000,00",PREV,2020-07-17 00:00:00
Assessor_3,"500000,00",PREV,2020-09-14 00:00:00
Assessor_31,"500000,00",TED,2020-01-29 00:00:00
Assessor_35,"500000,00",TED,2020-03-24 00:00:00
Assessor_35,"500000,00",TED,2020-04-02 00:00:00
Assessor_35,"500000,00",TED,2020-05-25 00:00:00
Assessor_35,"500000,00",TED,2020-06-19 00:00:00
Assessor_41,"500000,00",PREV,2020-02-21 00:00:00
Assessor_15,"499999,57",TED,2020-09-29 00:00:00
Assessor_31,"499999,00",TED,2020-01-20 00:00:00
Assessor_35,"499300,00",TED,2020-06-03 00:00:00
Assessor_23,"490000,67",PREV,2020-09-14 00:00:00
